MONTADORA;Modelo;VALOR DO DESCONTO;Estado;País;MOTOR
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PLUS PR2 1.0T AT;5000;São Paulo;Brasil;1.0
RENAULT DO BRASIL S.A;STEPWAY 1.0 Zen;5000;Paraná;Brasil;1.0
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL 16V FLEX 5-P (1CSBSUHL05GC9TB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL 16V FLEX 5-P (1CSBSUHL05GCA0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9QB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9TB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGC9ZB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FEEL PACK 16V FLEX Aut. 5-P (1CSBSUHL0MGCA0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGC9UB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGC9VB0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ0B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ1B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ2B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C3 1.6 FIRST EDITION 16V FLEX Aut. 5-P (1CSBSUHL0MGCZ3B0);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;CITROËN C4 CACTUS 1.6 LIVE 16V Aut. 5-P (1CEAA5EL0M55LEC0);4000;Minas Gerais;Brasil;1.6
HONDA AUTOMÓVEIS DO BRASIL LTDA;CITY Hatch EX;4000;Amazonas;Brasil;1.8
HONDA AUTOMÓVEIS DO BRASIL LTDA;CITY Sedan EX;4000;Amazonas;Brasil;1.8
RENAULT DO BRASIL S.A;DUSTER 1.6 Intense CVT;4000;Paraná;Brasil;1.6
RENAULT DO BRASIL S.A;DUSTER 1.6 Intense MT;4000;Paraná;Brasil;1.6
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT FASTBACK CVT FLEX FWD;4000;Minas Gerais;Brasil;1.8
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT FIORINO 1.4 BUSINESS FLEX 4-P (2651PA1);4000;Minas Gerais;Brasil;1.4
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A1K0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A210);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363A2K0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363ATK0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT PULSE 1.0T AUDACE (AT) (363AVK0);4000;Minas Gerais;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B310);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B3C0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281B9J0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 FREEDOM CD (MT) (281BPJ0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B410);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B4C0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281B4J0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3 VOLCANO CD (MT) (281BRJ0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3VOLCANO CD  (AT)  (281B4A0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.3VOLCANO CD  (AT)  (281B4G0);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.4 ENDURANCE CAB. PLUS FLEX 2-P (281A220);4000;Minas Gerais;Brasil;1.4
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;FIAT STRADA 1.4 ENDURANCE CAB. PLUS FLEX 2-P (281A2D0);4000;Minas Gerais;Brasil;1.4
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6MT AV+ESC+SAB;4000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6MT AV+ESC+SAB MY23/24;4000;São Paulo;Brasil;1.0
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;JEEP RENEGADE 1.3 SPORTFLEX Aut. (T270) 5-P (6111KM1);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;JEEP RENEGADE 1.3 SPORTFLEX Aut. (T270) 5-P (6111KR1);4000;Minas Gerais;Brasil;1.3
FCA FIAT CHRYSLER AUTOMÓVEIS BRASIL LTDA;JEEP RENEGADE 1.3 TURBO FLEX Aut. (T270) 5-P (6111JM1);4000;Minas Gerais;Brasil;1.3
GENERAL MOTORS DO BRASIL LTDA;MONTANA 1.2T MT;4000;São Paulo;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;MONTANA LT 1.2T MT;4000;São Paulo;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO POLO / COMFORTLINE;4000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO POLO / HIGHLINE;4000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;NOVO VIRTUS / AUTOMÁTICO;4000;Paraná;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;ONIX 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LT 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LTZ 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX LTZ 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR1 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX PR2 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX RS 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX RS 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;ONIX RS 1.0T AT;4000;São Paulo;Brasil;1.0
RENAULT DO BRASIL S.A;OROCH 1.6 PRO;4000;Paraná;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ALLURE 16V FLEX Aut. 5-P (1PINSYLL0M559QC6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ALLURE 16V FLEX Aut. 5-P (1PINSYLL0M55A0C6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ALLURE 16V FLEX Aut. 5-P (1PINSYLL0M55A0C7);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ROADTRIP  16V FLEX Aut (1PINSYJL0M559RC6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ROADTRIP 16V FLEX Aut (1PINSYJL0M55YWC6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 ROADTRIP 16V FLEX Aut (1PINSYJL0M55YWC7);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 STYLE 16V FLEX Aut (1PINSYJL0M559QC6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 STYLE 16V FLEX Aut (1PINSYJL0M55A0C6);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 2008 1.6 STYLE 16V FLEX Aut (1PINSYJL0M55A0C7);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ACTIVE 16V FLEX Aut. 5-P (1PPAA5HL0MGC9QB5);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ACTIVE 16V FLEX Aut. 5-P (1PPAA5HL0MGCA0B4);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ACTIVE 16V FLEX Aut. 5-P (1PPAA5HL0MGCA0B5);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ALLURE 16V FLEX 5-P Aut (1PPAA5HL0MGC9RB4);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ALLURE 16V FLEX 5-P Aut (1PPAA5PL0MGC9QB4);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ALLURE 16V FLEX 5-P Aut (1PPAA5PL0MGC9RB5);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ALLURE 16V FLEX 5-P Aut (1PPAA5PL0MGC9SB4);4000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT PARTNER RAPID 1.4 BUSINESS FLEX 4-P (2PB2ZVF8O5GCA0B0);4000;Minas Gerais;Brasil;1.4
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT PARTNER RAPID 1.4 BUSINESS FLEX 4-P (2PB2ZVR8O5GC9QB0);4000;Minas Gerais;Brasil;1.4
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT PARTNER RAPID 1.4 BUSINESS FLEX 4-P (2PB2ZVR8O5GC9RB0);4000;Minas Gerais;Brasil;1.4
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT PARTNER RAPID 1.4 BUSINESS FLEX 4-P (2PB2ZVR8O5GCA0B0);4000;Minas Gerais;Brasil;1.4
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;SAVEIRO ROBUST DC;4000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;SAVEIRO ROBUST SC;4000;Paraná;Brasil;1.8
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;SAVEIRO TRENDLINE SC;4000;Paraná;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;SPIN 1.8 LS AT;4000;São Paulo;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;SPIN 1.8 LS MT;4000;São Paulo;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;SPIN 1.8 LT MT;4000;São Paulo;Brasil;1.8
RENAULT DO BRASIL S.A;STEPWAY 1.6 Iconic CVT;4000;Paraná;Brasil;1.6
RENAULT DO BRASIL S.A;STEPWAY 1.6 Zen;4000;Paraná;Brasil;1.6
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;T-CROSS / SENSE;4000;Paraná;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;TRACKER 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;TRACKER 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;TRACKER 1.0T AT;4000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;TRACKER 1.0T AT;4000;São Paulo;Brasil;1.0
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES LTDA;VIRTUS  / 200 TSI COMFORTLINE;4000;Paraná;Brasil;1.8
TOYOTA DO BRASIL LTDA.;YARIS SD XL;4000;São Paulo;Brasil;1.8
TOYOTA DO BRASIL LTDA.;YARIS SD XS;4000;São Paulo;Brasil;1.8
HYUNDAI MOTOR BRASIL;HB20S COMFORT 1.0T 6AT AV+ESC+SAB MY23/24;3000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20S PLATINUM 1.0T 6AT PAS+SMK+BLK MY23/24;3000;São Paulo;Brasil;1.0
NISSAN DO BRASIL AUTOMÓVEIS LTDA.;KICKS ACTIVE;3000;São Paulo;Brasil;1.8
NISSAN DO BRASIL AUTOMÓVEIS LTDA.;KICKS ACTIVE (AUDIO);3000;São Paulo;Brasil;1.8
NISSAN DO BRASIL AUTOMÓVEIS LTDA.;KICKS SENSE;3000;São Paulo;Brasil;1.8
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 GRIFFE 16V FLEX 5-P Aut (1PPAA5PL0MGC9QB5);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 GRIFFE 16V FLEX 5-P Aut (1PPAA5PL0MGC9RB4);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 GRIFFE 16V FLEX 5-P Aut (1PPAA5PL0MGC9SB5);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 GRIFFE 16V FLEX 5-P Aut (1PPAA5PL0MGCA0B4);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 GRIFFE 16V FLEX 5-P Aut (1PPAA5PL0MGCA0B5);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ROADTRIP 16V FLEX 5-P Aut (1PPAA5HL0MGC9QB4);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ROADTRIP 16V FLEX 5-P Aut (1PPAA5HL0MGC9RB5);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ROADTRIP 16V FLEX 5-P Aut (1PPAA5HL0MGCYWB4);3000;Minas Gerais;Brasil;1.6
PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;PEUGEOT 208 1.6 ROADTRIP 16V FLEX 5-P Aut (1PPAA5HL0MGCYWB5);3000;Minas Gerais;Brasil;1.6
TOYOTA DO BRASIL LTDA.;YARIS HB XL;3000;São Paulo;Brasil;1.8
TOYOTA DO BRASIL LTDA.;YARIS HB XS;3000;São Paulo;Brasil;1.8
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6AT AV+ESC+SAB;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6AT AV+ESC+SAB MY23/24;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6MT AV+ESC+SAB;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 COMFORT 1.0T 6MT AV+ESC+SAB;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 PLAT PL 1.0T 6AT ADAS+PDL+BSP+BLK;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 PLAT PL 1.0T 6AT ADAS+PDL+BSP+BLK;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 PLAT PL 1.0T 6AT ADAS+PDL+BSP+BLK MY23/24;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 PLATINUM 1.0T 6AT RPAS+SMK+BLK;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20 PLATINUM 1.0T 6AT RPAS+SMK+BLK MY23/24;2000;São Paulo;Brasil;1.0
HYUNDAI MOTOR BRASIL;HB20S PLATINUM 1.0T 6AT PAS+SMK+BLK;2000;São Paulo;Brasil;1.0
GENERAL MOTORS DO BRASIL LTDA;SPIN 1.8 LT 7L AT;2000;São Paulo;Brasil;1.8
GENERAL MOTORS DO BRASIL LTDA;SPIN 1.8 LTZ AT;2000;São Paulo;Brasil;1.8
